VehicleID,Date,Time,Camera,Speed,Type
1,21/Apr/2022,16:11:37,Cam1,43.9436002166413,Truck
2,21/Apr/2022,16:11:37,Cam1,43.9436002166413,Truck
3,21/Apr/2022,16:13:53,Cam1,43.9436002166413,Truck
4,21/Apr/2022,16:13:53,Cam1,43.9436002166413,Truck
5,21/Apr/2022,16:23:43,Cam1,43.9436002166413,Truck
6,21/Apr/2022,16:23:43,Cam1,43.9436002166413,Truck
7,21/Apr/2022,16:23:48,Cam1,50.4566,Car
8,21/Apr/2022,16:23:48,Cam1,50.4566,Car
9,21/Apr/2022,17:23:48,Cam1,42.2568,Motorcycle
10,21/Apr/2022,17:23:48,Cam1,42.2568,Motorcycle
11,21/Apr/2022,17:24:28,Cam1,55.6919,Motorcycle
12,21/Apr/2022,17:24:28,Cam1,56.9733,Motorcycle
13,21/Apr/2022,17:25:18,Cam1,48.2342,Motorcycle
14,21/Apr/2022,17:25:18,Cam1,45.5872,Motorcycle
15,21/Apr/2022,17:28:10,Cam1,46.2810,Car
16,21/Apr/2022,17:28:10,Cam1,52.6461,Car
17,21/Apr/2022,17:31:03,Cam1,43.8663,Truck
18,21/Apr/2022,17:31:03,Cam1,54.1581,Truck
19,21/Apr/2022,18:43:03,Cam1,56.3290,Car
20,21/Apr/2022,18:43:03,Cam1,56.0274,Car
21,22/Apr/2022,6:43:03,Cam1,45.7820,Bus
22,22/Apr/2022,6:43:03,Cam1,60.1704,Bus
23,22/Apr/2022,7:11:51,Cam1,43.2375,Truck
24,22/Apr/2022,7:11:51,Cam1,59.3374,Truck
25,22/Apr/2022,7:16:10,Cam1,45.6563,Bus
26,22/Apr/2022,7:16:10,Cam1,60.4318,Bus
27,22/Apr/2022,7:23:22,Cam1,42.5636,Motorcycle
28,22/Apr/2022,7:23:22,Cam1,59.1333,Motorcycle
29,22/Apr/2022,7:36:20,Cam1,52.7307,Motorcycle
30,22/Apr/2022,7:36:20,Cam1,58.8660,Motorcycle
31,22/Apr/2022,8:05:08,Cam1,58.0184,Motorcycle
32,22/Apr/2022,8:05:08,Cam1,55.4921,Motorcycle
33,22/Apr/2022,8:09:27,Cam1,56.1419,Bus
34,22/Apr/2022,8:09:27,Cam1,48.4309,Bus
35,22/Apr/2022,9:07:03,Cam1,52.8457,Truck
36,22/Apr/2022,9:07:03,Cam1,53.7493,Truck
37,22/Apr/2022,13:55:03,Cam1,62.2216,Truck
38,22/Apr/2022,13:55:03,Cam1,57.1502,Truck
39,22/Apr/2022,21:07:03,Cam1,48.2482,Motorcycle
40,22/Apr/2022,21:07:03,Cam1,44.0300,Motorcycle
41,22/Apr/2022,21:15:42,Cam1,49.9715,Truck
42,22/Apr/2022,21:15:42,Cam1,59.1308,Truck
43,22/Apr/2022,21:18:34,Cam1,55.3765,Bus
44,22/Apr/2022,21:18:34,Cam1,46.3489,Bus
45,22/Apr/2022,21:21:27,Cam1,51.4647,Motorcycle
46,22/Apr/2022,21:21:27,Cam1,55.0221,Motorcycle
47,22/Apr/2022,21:22:02,Cam1,60.7955,Car
48,22/Apr/2022,21:22:02,Cam1,56.8389,Car
49,22/Apr/2022,21:26:21,Cam1,57.2819,Motorcycle
50,22/Apr/2022,21:26:21,Cam1,53.1973,Motorcycle
